Function name,Matrix size,Elapsed time,Number of processes
OpenFaaS Sequential,16384,0.00626836,1
OpenFaaS Threaded,16384,0.00363185,2
Azure Multi-function,16384,0.27082705,2
OpenFaaS Multi-function,16384,0.16583705,2
Azure Multi-function,16384,0.33094192,4
OpenFaaS Multi-function,16384,0.21720886,4
Azure Multi-function,16384,0.52516294,8
OpenFaaS Multi-function,16384,0.36031199,8
Azure Sequential,65536,0.1030244,1
Azure Threaded,65536,0.1278522,2
OpenFaaS Sequential,65536,0.05301834,1
OpenFaaS Threaded,65536,0.03359362,2
Azure Multi-function,65536,0.76480985,2
OpenFaaS Multi-function,65536,0.5651629,2
Azure Multi-function,65536,0.94794583,4
OpenFaaS Multi-function,65536,0.75254393,4
Azure Multi-function,65536,1.67765903,8
OpenFaaS Multi-function,65536,1.42725301,8
Azure Sequential,262144,1.06830326,1
Azure Threaded,262144,1.03394478,2
OpenFaaS Sequential,262144,0.65217272,1
OpenFaaS Threaded,262144,0.37527621,2
Azure Multi-function,262144,2.91955709,2
OpenFaaS Multi-function,262144,2.76322269,2
Azure Multi-function,262144,5.88684797,4
OpenFaaS Multi-function,262144,3.19471788,4
Azure Multi-function,262144,6.60628104,8
OpenFaaS Multi-function,262144,5.38359499,8
Azure Sequential,4,0.0001053,1
Azure Threaded,4,0.0000371,2
OpenFaaS Sequential,4,0.0000289,1
OpenFaaS Threaded,4,0.000015,2
Azure Multi-function,4,0.10595322,2
OpenFaaS Multi-function,4,0.0477891,2
Azure Multi-function,4,0.12010384,4
OpenFaaS Multi-function,4,0.05299687,4
Azure Multi-function,4,0.11907482,8
OpenFaaS Multi-function,4,0.05957413,8
Azure Sequential,16,0.0000296,1
Azure Threaded,16,0.0000482,2
OpenFaaS Sequential,16,0.0000168,1
OpenFaaS Threaded,16,0.0000249,2
Azure Multi-function,16,0.099684,2
OpenFaaS Multi-function,16,0.04775977,2
Azure Multi-function,16,0.11026788,4
OpenFaaS Multi-function,16,0.04771304,4
Azure Multi-function,16,0.12283206,8
OpenFaaS Multi-function,16,0.06714702,8
Azure Sequential,64,0.0000397,1
Azure Threaded,64,0.0001983,2
OpenFaaS Sequential,64,0.0000303,1
OpenFaaS Threaded,64,0.0000412,2
Azure Multi-function,64,0.12609982,2
OpenFaaS Multi-function,64,0.04737282,2
Azure Multi-function,64,0.11752319,4
OpenFaaS Multi-function,64,0.04782534,4
Azure Multi-function,64,0.14497399,8
OpenFaaS Multi-function,64,0.05661416,8
Azure Sequential,256,0.0000903,1
Azure Threaded,256,0.0000887,2
OpenFaaS Sequential,256,0.0000491,1
OpenFaaS Threaded,256,0.0000369,2
Azure Multi-function,256,0.13573885,2
OpenFaaS Multi-function,256,0.04675102,2
Azure Multi-function,256,0.10810518,4
OpenFaaS Multi-function,256,0.05472684,4
Azure Multi-function,256,0.17623281,8
OpenFaaS Multi-function,256,0.06847095,8
Azure Sequential,1024,0.0003286,1
Azure Threaded,1024,0.00073609,2
OpenFaaS Sequential,1024,0.00016711,1
OpenFaaS Threaded,1024,0.00020421,2
Azure Multi-function,1024,0.11854196,2
OpenFaaS Multi-function,1024,0.04341888,2
Azure Multi-function,1024,0.11088085,4
OpenFaaS Multi-function,1024,0.05053401,4
Azure Multi-function,1024,0.15524888,8
OpenFaaS Multi-function,1024,0.06708002,8
Azure Sequential,4096,0.00602451,1
Azure Threaded,4096,0.00941854,2
OpenFaaS Sequential,4096,0.00133576,1
OpenFaaS Threaded,4096,0.00065083,2
Azure Multi-function,4096,0.15754604,2
OpenFaaS Multi-function,4096,0.06735015,2
Azure Multi-function,4096,0.1495831,4
OpenFaaS Multi-function,4096,0.07252812,4
Azure Multi-function,4096,0.19203091,8
OpenFaaS Multi-function,4096,0.10883141,8
Azure Sequential,16384,0.01317581,1
Azure Threaded,16384,0.01245352,2
OpenFaaS Sequential,16384,0.00654892,1
OpenFaaS Threaded,16384,0.00382507,2
Azure Multi-function,16384,0.26235986,2
OpenFaaS Multi-function,16384,0.1891489,2
Azure Multi-function,16384,0.31638885,4
OpenFaaS Multi-function,16384,0.21021795,4
Azure Multi-function,16384,0.43987584,8
OpenFaaS Multi-function,16384,0.36610794,8
Azure Sequential,65536,0.1149223,1
Azure Threaded,65536,0.1217222,2
OpenFaaS Sequential,65536,0.04953725,1
OpenFaaS Threaded,65536,0.0266586,2
Azure Multi-function,65536,0.72701597,2
OpenFaaS Multi-function,65536,0.46865106,2
Azure Multi-function,65536,0.94973779,4
OpenFaaS Multi-function,65536,0.74904203,4
Azure Multi-function,65536,1.73424792,8
OpenFaaS Multi-function,65536,1.52514505,8
Azure Sequential,262144,0.94325118,1
Azure Threaded,262144,1.02640033,2
OpenFaaS Sequential,262144,0.69153039,1
OpenFaaS Threaded,262144,0.36273594,2
Azure Multi-function,262144,3.06167293,2
OpenFaaS Multi-function,262144,2.18185711,2
Azure Multi-function,262144,5.89178205,4
OpenFaaS Multi-function,262144,3.30432105,4
Azure Multi-function,262144,7.34666491,8
OpenFaaS Multi-function,262144,5.42757201,8
